20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/fuc/pageElement/removePageElements.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.fuc.web.PageElementData.removePageElements(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/fuc/pageElement/getPageElement.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.fuc.web.PageElementData.getPageElement(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/fuc/pageElement/getPagerPageElements.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.fuc.web.PageElementData.getPagerPageElements(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gsoft.framework.core.web.controller.RequestDataIn<com.gsoft.framework.security.fuc.entity.PageElement>,com.gsoft.framework.security.fuc.entity.PageElement,org.springframework.validation.BindingResult)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/fuc/pageElement/removePageElement.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.fuc.web.PageElementData.removePageElement(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/fuc/role/getRoles.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.fuc.web.RoleData.getRoles(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gsoft.framework.core.web.controller.RequestDataIn<com.gsoft.framework.security.fuc.entity.Role>,com.gsoft.framework.security.fuc.entity.Role,org.springframework.validation.BindingResult)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/fuc/role/getRole.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.fuc.web.RoleData.getRole(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/fuc/role/getRoleAuth.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.fuc.web.RoleData.getRoleAuth(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/fuc/role/removeRole.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.fuc.web.RoleData.removeRole(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/fuc/role/saveRolePageAuth.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.fuc.web.RoleData.saveRolePageAuth(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gsoft.framework.core.web.controller.RequestDataIn<com.gsoft.framework.security.fuc.entity.Role>,com.gsoft.framework.security.fuc.entity.Role,org.springframework.validation.BindingResult)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/fuc/role/saveRole.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.fuc.web.RoleData.saveRole(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gsoft.framework.core.web.controller.RequestDataIn<com.gsoft.framework.security.fuc.entity.Role>,com.gsoft.framework.security.fuc.entity.Role,org.springframework.validation.BindingResult)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/fuc/role/getPagerRoles.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.fuc.web.RoleData.getPagerRoles(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gsoft.framework.core.web.controller.RequestDataIn<com.gsoft.framework.security.fuc.entity.Role>,com.gsoft.framework.security.fuc.entity.Role,org.springframework.validation.BindingResult)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/fuc/role/saveRoleAuth.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.fuc.web.RoleData.saveRoleAuth(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gsoft.framework.core.web.controller.RequestDataIn<com.gsoft.framework.security.fuc.entity.Role>,com.gsoft.framework.security.fuc.entity.Role,org.springframework.validation.BindingResult)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/fuc/role/removeRoles.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.fuc.web.RoleData.removeRoles(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/base/codeitem/getPagerCodeitems.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.codemap.web.CodeitemData.getPagerCodeitems(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gsoft.framework.core.web.controller.DataIn<com.gsoft.framework.codemap.entity.Codeitem>,com.gsoft.framework.codemap.entity.Codeitem,org.springframework.validation.BindingResult)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/base/codeitem/removeCodeitem.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.codemap.web.CodeitemData.removeCodeitem(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String)
